provider,corridor,date,fee_php,effective_exchange_rate,weekday,weekday_number,is_holiday,is_promo,is_payday,effective_cost_php_15000
Wise,AE-PH,2023-01-01,163.9,15.693662,Sunday,6,1,0,0,361.11
Remitly,AE-PH,2023-01-01,166.14,15.667192,Sunday,6,1,0,0,389.03
WorldRemit,AE-PH,2023-01-01,171.28,15.628073,Sunday,6,1,0,0,432.28
Wise,AE-PH,2023-01-02,154.57,15.715179,Monday,0,0,0,0,330.98
Remitly,AE-PH,2023-01-02,145.26,15.713644,Monday,0,0,0,0,323.15
WorldRemit,AE-PH,2023-01-02,157.36,15.661712,Monday,0,0,0,0,385.58
Wise,AE-PH,2023-01-03,142.35,15.742693,Tuesday,1,0,0,0,292.23
Remitly,AE-PH,2023-01-03,133.03,15.75837,Tuesday,1,0,0,0,267.85
WorldRemit,AE-PH,2023-01-03,140.96,15.681063,Tuesday,1,0,0,0,350.39
Wise,AE-PH,2023-01-04,125.94,15.762023,Wednesday,2,0,0,0,257.24
Remitly,AE-PH,2023-01-04,145.32,15.731927,Wednesday,2,0,0,0,305.57
WorldRemit,AE-PH,2023-01-04,123.38,15.710436,Wednesday,2,0,0,0,304.37
Wise,AE-PH,2023-01-05,114.01,15.79704,Thursday,3,0,0,0,211.78
Remitly,AE-PH,2023-01-05,154.71,15.686576,Thursday,3,0,0,0,358.79
WorldRemit,AE-PH,2023-01-05,142.74,15.691702,Thursday,3,0,0,0,341.86
Wise,AE-PH,2023-01-06,135.15,15.753802,Friday,4,0,0,0,274.35
Remitly,AE-PH,2023-01-06,167.24,15.674829,Friday,4,0,0,0,382.72
WorldRemit,AE-PH,2023-01-06,144.22,15.662467,Friday,4,0,0,0,371.71
Wise,AE-PH,2023-01-07,139.89,15.730253,Saturday,5,0,0,0,301.76
Remitly,AE-PH,2023-01-07,165.2,15.68132,Saturday,5,0,0,0,374.38
WorldRemit,AE-PH,2023-01-07,161.4,15.658002,Saturday,5,0,0,0,393.23
Wise,AE-PH,2023-01-08,149.05,15.71157,Sunday,6,0,0,0,328.95
Remitly,AE-PH,2023-01-08,157.54,15.672074,Sunday,6,0,0,0,375.69
WorldRemit,AE-PH,2023-01-08,158.22,15.642775,Sunday,6,0,0,0,404.88
Wise,AE-PH,2023-01-09,147.48,15.713217,Monday,0,0,0,0,325.78
Remitly,AE-PH,2023-01-09,116.06,15.786741,Monday,0,0,1,0,223.68
WorldRemit,AE-PH,2023-01-09,150.42,15.662233,Monday,0,0,0,0,378.13
Wise,AE-PH,2023-01-10,142.37,15.735892,Tuesday,1,0,0,0,298.8
Remitly,AE-PH,2023-01-10,96.38,15.801299,Tuesday,1,0,1,0,190.07
WorldRemit,AE-PH,2023-01-10,108.87,15.751127,Tuesday,1,0,1,0,250.64
Wise,AE-PH,2023-01-11,102.94,15.809434,Wednesday,2,0,1,0,188.87
Remitly,AE-PH,2023-01-11,116.46,15.773738,Wednesday,2,0,1,0,236.53
WorldRemit,AE-PH,2023-01-11,96.5,15.748844,Wednesday,2,0,1,0,240.47
Wise,AE-PH,2023-01-12,82.78,15.847542,Thursday,3,0,1,0,132.44
Remitly,AE-PH,2023-01-12,160.84,15.707959,Thursday,3,0,0,0,344.23
WorldRemit,AE-PH,2023-01-12,112.54,15.745793,Thursday,3,0,1,0,259.45
Wise,AE-PH,2023-01-13,100.62,15.832569,Friday,4,0,1,0,164.5
Remitly,AE-PH,2023-01-13,166.08,15.677697,Friday,4,0,0,0,378.78
WorldRemit,AE-PH,2023-01-13,157.43,15.666783,Friday,4,0,0,0,380.72
Wise,AE-PH,2023-01-14,155.95,15.690681,Saturday,5,0,0,1,356.06
Remitly,AE-PH,2023-01-14,183.12,15.620157,Saturday,5,0,0,1,451.86
WorldRemit,AE-PH,2023-01-14,174.87,15.599545,Saturday,5,0,0,1,463.78
Wise,AE-PH,2023-01-15,163.85,15.661361,Sunday,6,0,0,1,392.41
Remitly,AE-PH,2023-01-15,171.8,15.653135,Sunday,6,0,0,1,408.37
WorldRemit,AE-PH,2023-01-15,174.48,15.604773,Sunday,6,0,0,1,458.27
Wise,AE-PH,2023-01-16,160.43,15.676477,Monday,0,0,0,1,374.31
Remitly,AE-PH,2023-01-16,170.42,15.668765,Monday,0,0,0,1,391.79
WorldRemit,AE-PH,2023-01-16,169.18,15.621775,Monday,0,0,0,1,436.33
Wise,AE-PH,2023-01-17,141.91,15.738278,Tuesday,1,0,0,0,296.05
Remitly,AE-PH,2023-01-17,134.07,15.745186,Tuesday,1,0,0,0,281.56
WorldRemit,AE-PH,2023-01-17,143.13,15.685371,Tuesday,1,0,0,0,348.38
Wise,AE-PH,2023-01-18,128.39,15.75324,Wednesday,2,0,0,0,268.13
Remitly,AE-PH,2023-01-18,151.49,15.718249,Wednesday,2,0,0,0,324.94
WorldRemit,AE-PH,2023-01-18,122.14,15.713084,Wednesday,2,0,0,0,300.57
Wise,AE-PH,2023-01-19,112.79,15.776725,Thursday,3,0,0,0,229.99
Remitly,AE-PH,2023-01-19,160.1,15.687999,Thursday,3,0,0,0,362.81
WorldRemit,AE-PH,2023-01-19,145.06,15.705851,Thursday,3,0,0,0,330.48
Wise,AE-PH,2023-01-20,137.44,15.757522,Friday,4,0,0,0,273.07
Remitly,AE-PH,2023-01-20,162.85,15.675928,Friday,4,0,0,0,377.26
WorldRemit,AE-PH,2023-01-20,148.46,15.670585,Friday,4,0,0,0,368.06
Wise,AE-PH,2023-01-21,141.41,15.737668,Saturday,5,0,0,0,296.13
Remitly,AE-PH,2023-01-21,162.93,15.683785,Saturday,5,0,0,0,369.72
WorldRemit,AE-PH,2023-01-21,155.44,15.644167,Saturday,5,0,0,0,400.74
Wise,AE-PH,2023-01-22,145.98,15.715384,Sunday,6,0,0,0,322.19
Remitly,AE-PH,2023-01-22,159.46,15.694325,Sunday,6,0,0,0,356.04
WorldRemit,AE-PH,2023-01-22,159.71,15.643184,Sunday,6,0,0,0,405.97
Wise,AE-PH,2023-01-23,149.31,15.728309,Monday,0,0,0,0,313.05
Remitly,AE-PH,2023-01-23,146.51,15.718895,Monday,0,0,0,0,319.33
WorldRemit,AE-PH,2023-01-23,151.7,15.647465,Monday,0,0,0,0,393.79
Wise,AE-PH,2023-01-24,137.72,15.721398,Tuesday,1,0,0,0,308.13
Remitly,AE-PH,2023-01-24,135.95,15.731331,Tuesday,1,0,0,0,296.78
WorldRemit,AE-PH,2023-01-24,139.47,15.686822,Tuesday,1,0,0,0,343.32
Wise,AE-PH,2023-01-25,126.48,15.759353,Wednesday,2,0,0,0,260.35
Remitly,AE-PH,2023-01-25,149.29,15.717108,Wednesday,2,0,0,0,323.84
WorldRemit,AE-PH,2023-01-25,128.52,15.707695,Wednesday,2,0,0,0,312.17
Wise,AE-PH,2023-01-26,116.17,15.797445,Thursday,3,0,0,0,213.54
Remitly,AE-PH,2023-01-26,153.52,15.682908,Thursday,3,0,0,0,361.15
WorldRemit,AE-PH,2023-01-26,143.84,15.687188,Thursday,3,0,0,0,347.33
Wise,AE-PH,2023-01-27,128.33,15.748037,Friday,4,0,0,0,273.07
Remitly,AE-PH,2023-01-27,166.04,15.676005,Friday,4,0,0,0,380.38
WorldRemit,AE-PH,2023-01-27,151.75,15.657776,Friday,4,0,0,0,383.8
Wise,AE-PH,2023-01-28,135.41,15.719826,Saturday,5,0,0,0,307.33
